city,in_flow,out_flow,net_flow,total_flow,date
DongGuan,606.8607898412903,694.8477233489033,-87.98693351,1301.7085131901936,Jan
FoShan,601.5664223256774,654.2643439138062,-52.69792159,1255.8307662394836,Jan
GuangZhou,831.9776312578063,779.3417589445161,52.63587231329018,1611.3193902023222,Jan
HuiZhou,400.5810542612903,342.07915999238713,58.50189426890319,742.6602142536774,Jan
JiangMen,165.81893896219353,151.43924680025808,14.379692161935452,317.2581857624516,Jan
ShenZhen,669.4092427354839,695.2381751984516,-25.82893246,1364.6474179339355,Jan
ZhaoQing,145.87923290283868,106.62066685161292,39.25856605122577,252.4998997544516,Jan
ZhongShan,308.5267705931613,348.7837011329032,-40.25693054,657.3104717260645,Jan
ZhuHai,222.82015642954835,180.82546312645164,41.99469330309671,403.6456196,Jan
DongGuan,374.9054412069204,466.2531738095458,-91.3477326,841.1586150164662,Feb
FoShan,451.9285229551248,439.0116098339216,12.916913121203264,890.9401327890464,Feb
GuangZhou,619.2026867349632,561.7875255454744,57.41516119,1180.9902122804376,Feb
HuiZhou,310.2241926,271.69997301888225,38.52421953114873,581.9241655689132,Feb
JiangMen,134.8631451373698,131.10420692058975,3.758938216780052,265.96735205795954,Feb
ShenZhen,451.52984562557896,488.8682289484139,-37.33838332,940.3980745739929,Feb
ZhaoQing,143.00958307304165,127.87910551391204,15.130477559129588,270.88868858695366,Feb
ZhongShan,198.6109746752248,237.60049995460173,-38.98952528,436.2114746298265,Feb
ZhuHai,184.2943395,144.36440792167423,39.92993158708677,328.65874743043526,Feb
DongGuan,549.8034164123413,574.6066939665516,-24.80327755,1124.410110378893,Mar
FoShan,541.7834555112802,552.8401761279708,-11.05672062,1094.623631639251,Mar
GuangZhou,707.8946533672759,683.0254392,24.869214180261903,1390.9200925542898,Mar
HuiZhou,331.23361411783145,305.14535628911545,26.08825783,636.3789704069469,Mar
JiangMen,147.9220752468512,136.45994589724873,11.462129349602463,284.3820211440999,Mar
ShenZhen,565.5961495502186,602.1399273630967,-36.54377781,1167.7360769133152,Mar
ZhaoQing,107.2023134897482,97.35532309565868,9.846990394089516,204.5576365854069,Mar
ZhongShan,281.94254182889904,297.1962905866389,-15.25374876,579.1388324,Mar
ZhuHai,181.57161645125495,166.18068346240582,15.390932988849158,347.75229991366075,Mar
DongGuan,593.3209803011999,618.4473921,-25.12641177,1211.7683723702398,Apr
FoShan,585.7468944807601,599.6507386,-13.90384417,1185.397633,Apr
GuangZhou,764.1666136922402,738.7098180480001,25.45679564424006,1502.8764317402402,Apr
HuiZhou,354.1376662,329.9345016,24.20316468792004,684.0721678,Apr
JiangMen,154.20984952176002,146.77103626200002,7.438813259759996,300.9808857837601,Apr
ShenZhen,617.2308705,648.0340394,-30.80316893,1265.2649098484399,Apr
ZhaoQing,129.6790256,120.3762593,9.302766388560002,250.0552849,Apr
ZhongShan,301.7358914,324.2321604244801,-22.49626903,625.9680518209202,Apr
ZhuHai,204.54715682460005,178.61900291351998,25.928153911080077,383.16615973812003,Apr
DongGuan,633.5506577868387,662.5752138,-29.02455603,1296.1258716065806,May
FoShan,619.5211381107721,630.0341058077046,-10.5129677,1249.5552439184767,May
GuangZhou,813.7986350988139,778.6362222230384,35.16241287577543,1592.4348573218522,May
HuiZhou,385.7807543946556,360.5683974387096,25.212356955946007,746.3491518333652,May
JiangMen,162.13440277000208,157.7460562283538,4.388346541648275,319.8804589983559,May
ShenZhen,651.9236355462642,690.8522902715837,-38.92865473,1342.775925817848,May
ZhaoQing,127.24291927513424,120.2519929,6.9909263921332325,247.49491215813524,May
ZhongShan,317.2241669204453,338.22309621877207,-20.9989293,655.4472631392174,May
ZhuHai,212.83203820225592,185.1209732142768,27.711064987979118,397.9530114165327,May
DongGuan,619.6412140239601,660.8135925547199,-41.17237853,1280.4548065786798,Jun
FoShan,595.4746999230001,608.208826,-12.7341261,1203.683526,Jun
GuangZhou,784.9962691,761.404127,23.59214207,1546.400396,Jun
HuiZhou,390.16104523164006,351.4103652,38.750680026000055,741.5714104372801,Jun
JiangMen,158.38522509311997,148.39004274948002,9.995182343639954,306.7752678,Jun
ShenZhen,640.0661044733998,675.5801693,-35.51406478,1315.646274,Jun
ZhaoQing,126.7013659,115.6550093,11.046356684640015,242.3563752,Jun
ZhongShan,310.79979947771994,327.70722587724003,-16.9074264,638.5070254,Jun
ZhuHai,204.88054368276005,181.93690898819997,22.943634694560103,386.81745267096005,Jun
DongGuan,610.2679551958377,678.0984170655483,-67.83046187,1288.366372261386,Jul
FoShan,591.6519965632007,625.5075820656398,-33.8555855,1217.1595786288403,Jul
GuangZhou,811.6128598127449,776.5059688682494,35.10689094449549,1588.1188286809943,Jul
HuiZhou,430.1931343579229,383.8133107553133,46.37982360260969,814.0064451132362,Jul
JiangMen,165.13082263906762,157.3253239913008,7.805498647766825,322.4561466303684,Jul
ShenZhen,688.5465173067595,700.5467850549677,-12.00026775,1389.0933023617272,Jul
ZhaoQing,126.74658539965036,118.8765123179188,7.870073081731547,245.62309771756915,Jul
ZhongShan,333.69417089295735,349.53685581176694,-15.84268492,683.2310267047243,Jul
ZhuHai,226.9530409576608,194.5863271950968,32.36671376256399,421.53936815275756,Jul
DongGuan,582.3619600632798,662.0226767825807,-79.66071672,1244.3846368458603,Aug
FoShan,580.6270540033923,618.5075211607243,-37.88046716,1199.1345751641165,Aug
GuangZhou,811.0009899,751.6616332322997,59.33935671321535,1562.6626231778146,Aug
HuiZhou,428.3183272079124,386.15594744521127,42.16237976270117,814.4742746531236,Aug
JiangMen,170.99209751004787,163.07328111074293,7.918816399304944,334.0653786207908,Aug
ShenZhen,664.6645183792383,684.5431792554128,-19.87866088,1349.2076976346511,Aug
ZhaoQing,134.50207035214154,118.81078842163582,15.691281930505724,253.31285877377735,Aug
ZhongShan,314.26475752923625,339.3499515855359,-25.08519406,653.6147091147722,Aug
ZhuHai,233.7538942851696,196.3606902817898,37.39320400337979,430.11458456695937,Aug
DongGuan,572.4631498,613.5329000908799,-41.06975027,1185.9960499120798,Sep
FoShan,561.4549642465199,578.3015082779999,-16.84654403,1139.7564725245197,Sep
GuangZhou,738.4855035671999,705.5405207679601,32.944982799239824,1444.026024,Sep
HuiZhou,353.8489833,326.3907978,27.458185462920028,680.2397811565199,Sep
JiangMen,151.67880923940004,143.40886379027998,8.269945449120058,295.087673,Sep
ShenZhen,600.0650562527999,631.8106306,-31.74557433,1231.875687,Sep
ZhaoQing,127.6039503,114.045727,13.55822323,241.6496773,Sep
ZhongShan,294.9552541,311.3521088,-16.39685465,606.3073629098401,Sep
ZhuHai,191.9089021,168.0815158,23.827386341879983,359.9904179,Sep
DongGuan,628.6603922121915,674.3722321616817,-45.71183995,1303.0326243738732,Oct
FoShan,630.9485334,635.2880482419771,-4.339514886,1266.236582,Oct
GuangZhou,822.0748580349677,790.8598532968404,31.21500473812739,1612.934711331808,Oct
HuiZhou,401.15336159388136,374.0784030604995,27.07495853338185,775.2317646543809,Oct
JiangMen,178.27651211484286,172.24151521178777,6.034996903055088,350.51802732663066,Oct
ShenZhen,674.8067633008159,709.4816269855942,-34.67486368,1384.28839,Oct
ZhaoQing,137.17018904804578,130.25171342434965,6.918475623696139,267.42190247239546,Oct
ZhongShan,326.8880193792175,348.5439015450032,-21.65588217,675.4319209242208,Oct
ZhuHai,224.8347543304683,189.69608944298025,35.13866488748806,414.5308437734485,Oct
DongGuan,576.0995542,610.8444456735601,-34.74489146,1186.944,Nov
FoShan,583.3750999233599,592.9866078551998,-9.611507932,1176.3617077785598,Nov
GuangZhou,748.745145,738.0159211468799,10.729223901000069,1486.761066,Nov
HuiZhou,359.1942957,327.1012563,32.09303938176004,686.295552,Nov
JiangMen,161.9461955,147.8127206,14.133474926639993,309.7589161,Nov
ShenZhen,608.0923012176002,645.1829452,-37.09064401,1253.2752464464802,Nov
ZhaoQing,122.7132144,111.89231155871998,10.820902832640016,234.605526,Nov
ZhongShan,304.6445774,316.2535089,-11.60893145,620.8980863212801,Nov
ZhuHai,208.8139436,183.5346097,25.27933380696001,392.3485533,Nov
DongGuan,564.9267593338689,599.7857719964704,-34.85901266,1164.7125313303393,Dec
FoShan,568.1698203951759,590.4089264004161,-22.23910601,1158.578746795592,Dec
GuangZhou,739.9121081050114,715.9364176450365,23.975690459974885,1455.8485257500479,Dec
HuiZhou,351.0955622948553,328.23142913537987,22.864133159475443,679.3269914302352,Dec
JiangMen,158.54476472990635,145.4175322007076,13.12723252919875,303.96229693061395,Dec
ShenZhen,603.5413387324496,627.8112723378979,-24.26993361,1231.3526110703474,Dec
ZhaoQing,119.1583375733819,107.23791038729657,11.920427186085334,226.39624796067847,Dec
ZhongShan,304.90244155505934,314.0559151429261,-9.153473588,618.9583566979854,Dec
ZhuHai,196.9861378194506,178.35209529302807,18.63404252642252,375.33823311247863,Dec