Origin,Destination,Average_Proportion
ZhongShan,ZhuHai,25.782499999999995
ZhongShan,GuangZhou,11.23125
ZhongShan,FoShan,10.82125
ZhongShan,JiangMen,7.5862500000000015
ZhongShan,ZhaoQing,3.0199999999999996
ZhongShan,ShenZhen,4.83875
ZhongShan,HuiZhou,1.4475
ZhongShan,DongGuan,2.2375
JiangMen,GuangZhou,16.64
JiangMen,FoShan,16.5975
JiangMen,ZhongShan,6.63
JiangMen,ZhuHai,8.9975
JiangMen,ShenZhen,4.536249999999999
JiangMen,DongGuan,2.9300000000000006
JiangMen,ZhaoQing,3.91875
JiangMen,HuiZhou,1.40625
HuiZhou,ShenZhen,27.16875
HuiZhou,GuangZhou,11.915
HuiZhou,DongGuan,11.885
HuiZhou,FoShan,3.3099999999999996
HuiZhou,ZhuHai,1.1237500000000002
HuiZhou,ZhongShan,0.93
HuiZhou,JiangMen,0.72875
HuiZhou,ZhaoQing,0.735
FoShan,GuangZhou,30.79375
FoShan,ZhaoQing,8.95375
FoShan,JiangMen,6.85125
FoShan,ShenZhen,3.7737499999999997
FoShan,ZhuHai,3.2299999999999995
FoShan,ZhongShan,3.79375
FoShan,HuiZhou,2.26375
FoShan,DongGuan,2.2837499999999995
GuangZhou,FoShan,18.72625
GuangZhou,ZhaoQing,3.6737499999999996
GuangZhou,HuiZhou,5.4175
GuangZhou,ShenZhen,6.16875
GuangZhou,JiangMen,3.51375
GuangZhou,DongGuan,5.09875
GuangZhou,ZhuHai,3.86625
GuangZhou,ZhongShan,2.2300000000000004
ZhuHai,ZhongShan,20.356249999999996
ZhuHai,GuangZhou,11.5225
ZhuHai,JiangMen,6.54125
ZhuHai,FoShan,5.8475
ZhuHai,ShenZhen,6.45125
ZhuHai,DongGuan,2.0749999999999997
ZhuHai,ZhaoQing,1.41875
ZhuHai,HuiZhou,1.5225
ZhaoQing,FoShan,25.21875
ZhaoQing,GuangZhou,16.46375
ZhaoQing,ZhongShan,3.5825000000000005
ZhaoQing,JiangMen,3.04
ZhaoQing,ShenZhen,2.9475000000000002
ZhaoQing,DongGuan,2.74125
ZhaoQing,ZhuHai,1.67
ZhaoQing,HuiZhou,1.2999999999999998
ShenZhen,HuiZhou,14.9925
ShenZhen,DongGuan,12.01875
ShenZhen,GuangZhou,8.79875
ShenZhen,FoShan,3.4112500000000003
ShenZhen,ZhuHai,2.77875
ShenZhen,ZhongShan,1.55625
ShenZhen,JiangMen,1.295
ShenZhen,ZhaoQing,0.83375
DongGuan,ShenZhen,21.1425
DongGuan,HuiZhou,14.735
DongGuan,GuangZhou,15.695000000000002
DongGuan,FoShan,5.2749999999999995
DongGuan,ZhaoQing,1.33875
DongGuan,ZhuHai,1.9400000000000002
DongGuan,JiangMen,1.6262499999999998
DongGuan,ZhongShan,1.38